rowNumber,date,time_of_day,headspace_package,day_within_headspace_package,clarity_pre_meditation,calm_pre_meditation,tiredness_pre_meditation,hours_awake_today,hours_slept_last_night,hours_since_meal,meditation_minutes_earlier_today,mood_bad_proportion_since_last_entry,mood_low_proportion_since_last_entry,mood_mildlypleasant_proportion_since_last_entry,mood_verygood_proportion_since_last_entry,stroop_congruent_pre_meditation,stroop_incongruent_pre_meditation,stroop_mistake_pre_meditation,meditation_randomised_walking,meditation_randomised_sitting,meditation_randomised_standing,stroop_congruent_post_meditation,stroop_incongruent_post_meditation,stroop_mistake_post_meditation,clarity_post_meditation,calm_post_meditation,tiredness_post_meditation,self_regulation_failure_severity,hrs_since_coffee,out_of_home,hangover,re_anchor,data_point_quality_compromised
257,18.3.2015,NA,11,10,4,5.25,7.5,12,NA,3,NA,NA,NA,NA,NA,10.142,8.8395,NA,0,1,0,8.15,9.241499999999998,NA,4,5,7.5,NA,3,1,0,NA,NA
258,19.3.2015,NA,13,1,4.5,4,7.25,13,7,24.5,NA,NA,NA,NA,NA,10.72,12.3795,almost,0,1,0,11.69,11.269499999999999,almost,3.5,3.75,7,NA,6,0,0,NA,NA
259,20.03.15,NA,13,2,7,4,6,0.5,9,36,NA,NA,NA,NA,NA,10.246,10.9605,NA,0,1,0,11.034,10.6965,NA,5.75,4.5,6.75,NA,18,0,0,NA,NA
260,21.3.2015,NA,13,3,4,4,7.5,0.5,7,10,NA,NA,NA,NA,NA,15.394,11.9505,none,1,0,0,9.47,14.3565,at least one,5.25,5.75,7,NA,14,0,0,NA,NA
261,22.3.2015,NA,13,4,6.75,5,6.75,12,NA,2,NA,NA,NA,NA,NA,11.534,8.6085,NA,1,0,0,9.826,12.526500000000002,NA,5.5,4.75,7,NA,10,0,0,NA,NA
262,23.3.2015,NA,13,5,4,3,7.5,11,5.5,2,NA,NA,NA,NA,NA,10.148,7.764,none,0,0,1,10.154,9.936,almost,4,4,6.5,NA,0.5,1,0,NA,NA
263,26.3.2015,NA,13,6,4.5,5,6.5,2.25,7,0.75,NA,NA,NA,NA,NA,13.374,8.277,NA,0,1,0,10.124,11.514,NA,4.5,5.5,7,NA,0.5,0,0,NA,NA
264,27.3.2015,NA,13,7,5.5,5.5,6.75,8,9.5,20,NA,NA,NA,NA,NA,9.256,10.374,NA,0,1,0,9.786,10.327499999999999,NA,4.5,4.75,7,NA,7,0,0,NA,NA
265,28.3.2015,NA,13,8,6.5,7,6,13.5,5,3,NA,NA,NA,NA,NA,10.456,10.7805,NA,1,0,0,7.85,9.336,NA,6,5.5,7,NA,3,0,0,NA,NA
266,29.3.2015,NA,13,9,6,5,6,13.5,7,5,NA,NA,NA,NA,NA,9.872,10.6545,none,0,1,0,10.846,12.828,almost,6,5,6.25,NA,1,0,0,NA,NA
267,30.3.2015,NA,13,10,4,5.25,6.75,12.25,9,1.5,NA,NA,NA,NA,NA,13.308,12.972,almost,0,1,0,NA,NA,none,5,4.75,7.75,NA,10,NA,0,NA,NA
268,31.3.2015,NA,14,1,6,5.75,6.25,14,9,0.5,NA,NA,NA,NA,NA,9.716,10.166999999999998,NA,0,0,1,10.916,9.0285,NA,6,5.25,7,NA,6,0,0,NA,NA
269,1.4.2015,NA,14,2,5,5,6,12.75,8,5.75,NA,NA,NA,NA,NA,9.65,10.26,almost,0,1,0,11.494,10.3005,none,6.25,6,6.75,NA,5.5,1,0,NA,NA
270,2.4.2015,NA,14,3,5,6.5,5.75,12.5,10,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,4.5,4.75,7.25,NA,2,0,0,NA,NA
271,3.4.2015,NA,14,4,6.25,5,5,3.75,9,2.75,NA,NA,NA,NA,NA,9.634,9.310500000000001,almost,0,0,1,11.862,10.624500000000001,none,5.75,5.5,6,NA,2.25,0,0,NA,NA
272,4.4.2015,NA,14,5,4.75,5,6.25,15,6.5,1,NA,NA,NA,NA,NA,9.808,10.863,almost,1,0,0,10.192,10.477500000000001,none,6,4.75,6,NA,13.5,0,0,NA,NA
273,5.4.2015,NA,14,6,6.25,5.25,5.5,14,9,1,NA,NA,NA,NA,NA,11.452,11.002500000000001,NA,0,1,0,12.2,10.2075,NA,6,5.5,6,NA,12,0,0,NA,NA
274,6.4.2015,NA,14,7,6.75,5.25,5.75,13.5,9,2,NA,NA,NA,NA,NA,9.592,10.884,none,1,0,0,9.914,10.624500000000001,almost,5,5,6,NA,4,0,0,NA,NA
275,7.4.2015,NA,14,8,6,6,6.5,13.25,8.25,0,NA,NA,NA,NA,NA,10.786,9.775500000000001,none,0,1,0,9.346,11.097,at least one,5.5,5.25,7.25,NA,12,0,0,NA,NA
276,8.4.2015,NA,14,9,7.5,6,7,13.5,7,1,NA,NA,NA,NA,NA,12.486,10.53,almost,0,1,0,9.752,10.497,almost,6.75,5,6,NA,3,0,0,NA,NA
277,9.4.2015,NA,14,10,5.5,6,8,12,6.5,0.25,NA,NA,NA,NA,NA,11.224,10.379999999999999,at least one,0,1,0,9.784,10.0815,none,5.75,4.5,6.75,NA,0,1,0,NA,NA
278,10.4.2015,NA,15,1,5.75,4.75,5.75,2.5,7.75,1.5,NA,NA,NA,NA,NA,11.48,10.807500000000001,NA,0,0,1,10.91,10.8765,NA,6.5,5.75,5.75,NA,1,0,0,NA,NA
279,11.4.2015,NA,15,2,5.5,5.25,5.5,2.75,9.25,1.25,NA,NA,NA,NA,NA,9.762,11.4045,NA,0,1,0,9.18,9.4605,NA,5.75,5.75,5.25,NA,0.75,0,0,NA,NA
280,12.4.2015,NA,15,3,5.75,4.75,4,2,10,0.5,NA,NA,NA,NA,NA,8.756,10.6035,NA,0,1,0,9.502,10.905,NA,5,5.5,6,NA,0.25,0,0,NA,NA
281,13.4.2015,NA,15,4,4.75,5.25,6.75,4,8,3,NA,NA,NA,NA,NA,10.026,9.631499999999999,NA,0,0,1,11.438,10.911,NA,5.25,6,6.5,NA,2,0,0,NA,NA
282,14.4.2015,NA,15,5,4.75,4.75,6,2,10,0.75,NA,NA,NA,NA,NA,9.324,11.7285,at least one,0,0,1,9.41,11.4585,at least one,5.25,5,6.25,NA,0,0,0,1,NA
283,15.4.2015,NA,15,6,4,4,7.75,7.75,7.5,0.75,NA,NA,NA,NA,NA,8.954,11.4255,at least one,0,0,1,11.14,9.831,none,5,5,5,NA,0.75,0,0,1,NA
284,16.3.2015,NA,15,7,5,4.75,5.5,3.75,8,3,NA,NA,NA,NA,NA,8.688,12.0255,NA,0,1,0,10.14,9.774,NA,6,5.5,6,NA,0.5,0,0,1,NA
285,17.3.2015,NA,15,8,5,4,5.5,1.5,7.75,0.25,NA,NA,NA,NA,NA,11.25,10.659,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,NA
286,18.4.2015,NA,15,9,7.5,5,3.5,6.5,7.25,0,NA,NA,NA,NA,NA,8.314,8.8005,NA,0,0,1,9.896,9.3735,NA,6.5,5.75,5.25,NA,0.25,1,0,1,NA
287,19.4.2015,NA,15,10,5,4,4.5,2.5,10,0.5,NA,NA,NA,NA,NA,13.204,10.086,almost,0,1,0,10.914,13.336500000000001,none,4.75,4.75,5.75,NA,0.5,0,0,1,NA
288,20.4.2015,NA,15,11,6.25,5,5.25,3,9.75,0.25,NA,NA,NA,NA,NA,11.522,11.241,at least one,0,1,0,9.176,11.020500000000002,none,5,4.75,5.25,NA,0.25,0,0,1,NA
289,21.4.2015,NA,15,12,5.25,4.75,5.75,3,8.75,0.75,NA,NA,NA,NA,NA,11.388,9.886500000000002,none,0,0,1,16.394,9.2655,almost,4.75,5,5.5,NA,0.25,0,0,1,NA
290,22.4.2015,NA,15,13,6,4.75,4,1.75,9.5,0.75,NA,NA,NA,NA,NA,9.864,11.5515,NA,0,1,0,10.91,11.205,NA,4.75,4,3.5,NA,0,0,0,1,NA
291,23.4.2015,NA,15,14,6.25,5,4,2,9.5,1,NA,NA,NA,NA,NA,11.004,10.341,NA,1,0,0,11.384,11.9145,NA,5,4.75,4,NA,0.25,0,0,1,NA
292,24.4.2015,NA,15,15,4.75,4,6.5,7.75,9.75,0.5,NA,NA,NA,NA,NA,9.282,8.3565,NA,0,0,1,8.274,8.733,NA,4.5,6,5.5,NA,1,1,0,1,NA
293,25.4.2015,NA,15,16,5.5,6.75,5.5,12.25,8.25,0,NA,NA,NA,NA,NA,8.718,9.966,almost,0,1,0,8.352,9.877500000000001,none,4,6,7,NA,26,0,0,1,NA
294,26.4.2015,NA,15,NA,3.5,5.5,7.75,8.25,8,3,NA,NA,NA,NA,NA,9.21,10.608,almost,0,1,0,13.122,10.738499999999998,almost,3.25,6.75,8.25,NA,47,1,0,1,NA
295,27.4.2015,NA,15,17,6,4,5.75,2.5,9.5,1,NA,NA,NA,NA,NA,8.74,11.692499999999999,NA,0,1,0,9.762,9.6195,NA,5.5,5,5.25,NA,69,0,0,1,NA
296,28.4.2015,NA,15,18,6,4.75,5.75,6,9,2.25,NA,NA,NA,NA,NA,10.84,9.6375,almost,0,0,1,10.156,10.2195,none,5,5.25,5.75,NA,96,1,0,1,NA
297,29.4.2015,NA,15,19,3.75,5.5,6,11.5,8,0.75,NA,NA,NA,NA,NA,11.17,9.888,NA,0,1,0,10.908,11.9265,NA,5,5.75,6,NA,123,0,0,1,NA
298,30.4.2015,NA,15,20,3.75,4.25,6.5,6.25,7.75,0.75,NA,NA,NA,NA,NA,11.792,11.230500000000001,at least one,0,0,1,12.782,11.194500000000001,almost,5.5,4,5.25,NA,143,1,0,1,NA
299,1.5.2015,NA,15,21,4,5.25,5.25,2,7.75,0.25,NA,0,0.1,0.8,0.1,9.194,10.248000000000001,at least one,0,0,1,7.072,10.8915,none,5.75,5,6,NA,0.25,0,0,1,NA
300,2.5.2015,14:05,15,22,3.75,6.25,5.75,2,8.25,1,NA,0.1,0.2,0.6,0.1,8.654,10.125,NA,0,0,1,10.858,11.352,NA,5,5.25,4.75,NA,1,0,0,1,NA
301,3.5.2015,16:20,15,23,6.5,6,3.75,4.75,8.75,2.5,NA,0,0,0.5,0.5,10.652,11.247,almost,0,0,1,11.822,12.3405,almost,4.75,5.5,5,NA,2.5,0,0,1,NA
302,4.5.2015,21:15,15,24,5,5,6.75,10.5,8.5,1.25,NA,0.05,0.15,0.4,0.4,10.538,10.900500000000001,NA,0,0,1,9.556,9.7785,NA,6.25,6.5,5.75,NA,4,0,0,1,NA
303,5.5.2015,21:05,15,25,5,5.25,5.25,11.25,8,7,NA,0,0.1,0.5,0.4,8.276,10.4055,NA,0,1,0,9.81,10.572,NA,6,6.25,6,NA,1,1,0,1,NA
304,6.5.2015,11:15,15,26,5.75,4.75,4,2.5,8,0.5,NA,0,0.05,0.5,0.45,9.406,9.4875,NA,1,0,0,8.76,9.2355,NA,5.75,3.75,5,NA,0,0,0,1,NA
305,7.5.2015,11:30,15,27,4.25,4.75,6,2.5,7,2,NA,0,0.2,0.6,0.2,15.734,9.3825,almost,0,0,1,11.4,8.5305,almost,4.25,6,6,NA,0.5,0,0,1,NA
306,8.6.2015,13:00,15,28,6.25,6.5,6,2.25,8.75,1,NA,0.05,0.1,0.25,0.6,12.148,10.5375,almost,0,0,1,11.02,12.395999999999999,none,4.75,5.5,6,NA,0.25,0,0,1,NA
307,9.5.2015,14:20,15,29,6,5.25,3.75,2.75,10,0.75,NA,0.2,0.3,0.5,0,8.42,12.325500000000002,NA,1,0,0,9.626,9.5835,NA,6,4.75,5,NA,0.75,1,0,1,NA
308,10.5.2015,13:35,15,30,4,3.5,7,1.75,NA,0,NA,0.2,0.2,0.5,0.1,8.334,12.1875,NA,NA,NA,NA,10.908,11.761500000000002,NA,4,4.75,6.5,NA,18,1,0,1,NA
309,11.5.2015,22:25,16,1,5.25,5.5,6.25,13,8,0.75,NA,0.45,0.2,0.1,0.25,9.42,8.925,NA,1,0,0,11.136,9.894,NA,5,5.25,6.5,NA,9,0,0,1,NA
310,12.5.2015,23:45,16,2,4,3,5.75,16,7.25,0.25,NA,0.5,0.35,0.15,0,9.814,8.931000000000001,NA,0,1,0,11.24,10.8225,NA,3.5,4.5,6.5,NA,9,0,0,1,1
311,13.5.2015,23:30,16,3,4.75,6.25,5.75,11,11,2,NA,0.1,0.45,0.3,0.15,8.42,8.6985,NA,0,1,0,9.698,8.427000000000001,NA,4.75,4.75,6.5,NA,3,0,0,1,NA
312,14.5.2015,13:45,16,4,5,4.75,5,2.75,7,1,NA,0.2,0.5,0.3,0,11.238,10.473,NA,0,0,1,8.552,8.997,NA,5,4.5,5,NA,0.25,0,0,1,NA
313,15.5.2015,15:00,16,5,5.75,4.25,5.25,4.25,8.7,3,NA,0.4,0.4,0.2,0,9.19,10.212,none,0,1,0,12.004,10.293000000000001,almost,4,3.75,6.75,NA,0.5,0,0,1,NA
314,16.5.2015,10:20,16,6,4.75,4.75,6.25,0.5,7.75,8.5,NA,0.35,0.45,0.2,0,11.182,10.3965,NA,0,1,0,11.322,9.507000000000001,NA,5,4.5,6,NA,20,0,0,1,NA
315,17.5.2015,14:00,16,7,5,3.75,6,2.5,NA,2,NA,0.2,0.2,0.1,0.5,9.622,10.816500000000001,NA,0,0,1,10.88,10.2885,NA,5,4,6,NA,2,0,0,1,NA
316,18.5.2015,10:55,16,8,5,3.75,6.5,1,7.5,0.25,NA,0,0.3,0.55,0.15,10.968,11.7135,NA,1,0,0,10.308,11.9625,NA,4,4.75,7,NA,0.25,0,0,1,NA
317,19.5.2015,12:40,16,9,4.75,4.75,4.75,3,8.3,22.5,NA,0.25,0.35,0.4,0,8.708,10.3485,almost,1,0,0,8.754,10.1565,none,6,5.25,6,NA,0.25,0,0,1,NA
318,20.5.2015,12:40,16,10,6,5.25,3.75,1.6,9.25,46.2,NA,0.1,0.3,0.4,0.2,11.54,12.997499999999999,almost,1,0,0,10.116,9.7845,none,4.75,4.75,5.75,NA,0.5,0,0,1,NA
319,21.5.2015,13:45,17,1,4.75,4,5,2.5,9,1.75,NA,0.3,0.4,0.1,0.2,12.318,12.009,NA,1,0,0,10.856,11.944500000000001,NA,4,4.75,5,NA,1.75,0,0,1,NA
320,22.5.2015,13:25,17,2,5.5,4,4,1.9,9.6,1,NA,0.1,0.4,0.4,0.1,10.34,9.8025,NA,0,1,0,9.62,11.2425,NA,6,5,5,NA,1.5,0,0,1,NA
321,23.5.2015,16:20,17,3,4,6,7.5,4.8,7.5,2,NA,0,0,0.3,0.7,9.938,11.262,NA,0,1,0,12.608,10.900500000000001,NA,4.75,5.5,8,4,1.5,0,0,1,NA
322,24.5.2015,16:30,17,4,6,4.75,3,4,10.9,0,NA,0.1,0.2,0.6,0.1,8.828,10.4625,NA,0,1,0,10.038,9.730500000000001,NA,5,4.75,4.5,NA,0,1,0,1,NA
323,25.5.2015,22:20,17,5,6,5.75,5.75,10.5,8.7,0.5,NA,0.15,0.25,0.2,0.4,10.722,10.6035,at least one,0,1,0,8.81,9.7215,none,4.75,5,5.5,NA,7,0,0,1,NA
324,26.5.2015,14:05,17,6,4,3.75,6,3,8.3,2,NA,0.1,0.6,0.2,0.1,10.598,10.434000000000001,NA,1,0,0,9.486,10.773,NA,5.5,5.5,6,NA,2,0,0,1,NA
325,27.5.2015,13:05,17,7,5,3.75,5,3.2,8.7,14,NA,0.1,0.5,0.4,0,10.324,12.3225,almost,0,0,1,10.82,12.0045,none,4.25,4.25,6,NA,1,0,0,1,NA
236,28.5.2015,15:30,17,8,4.5,4,6.5,5,7.8,4.5,NA,0,0.4,0.5,0.1,8.702,10.0965,NA,0,1,0,9.652,9.906,NA,4,4.75,7,NA,4,0,0,1,NA
237,29.5.2015,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
328,30.5.2015,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
329,31.5.2015,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1
330,1.6.2015,14:20,17,9,3.75,5,6.25,2.25,9.5,0.25,NA,0.1,0.4,0.4,0.1,9.542,10.236,NA,0,1,0,10.302,10.572,NA,4,5.25,7,NA,0.5,0,0,1,NA
331,2.6.2015,12:45,17,10,6,5.25,5.75,1,9.75,14.75,NA,0,0.3,0.6,0.1,15.42,12.5205,almost,0,1,0,11.796,10.1985,none,4,4.75,6.5,NA,24,0,0,1,NA
332,3.6.2015,14:45,17,11,4,4,6,3,8.75,0.25,NA,0.1,0.4,0.4,0.1,9.772,8.847,NA,1,0,0,10.708,10.4475,NA,4,3.75,5,NA,20,0,0,1,NA
333,4.6.2015,15:10,17,12,4.75,4.75,5.5,2.25,8,0.25,NA,0.1,0.2,0.2,0.5,13.358,10.7865,NA,1,0,0,12.744,10.356,NA,4.75,4.75,6.25,NA,0.25,0,0,1,NA
334,5.6.2015,13:05,17,13,6.5,5.75,4.5,1.75,9,1,NA,0.2,0.5,0.3,0,9.258,11.383500000000002,almost,0,1,0,11.292,12.084,none,5,6,5.25,NA,0.5,0,0,1,NA
335,6.6.2015,13:35,17,14,6.75,5,5.5,4.5,7.3,4,NA,0,0.2,0.5,0.3,NA,NA,NA,0,0,1,NA,NA,NA,6.5,5.25,5,NA,4,1,0,1,1
336,7.6.2015,17:05,17,15,6.25,5.75,4.25,5.7,9.75,0.25,NA,0,0.3,0.4,0.3,9.746,10.2285,NA,0,0,1,9.656,11.8155,NA,6,5.75,5.75,NA,0.25,0,0,1,1
337,8.6.2015,10:50,17,16,6,4,3,1.3,7,0.25,NA,0.05,0.05,0.6,0.3,11.618,10.4985,NA,0,1,0,10.382,12.1005,NA,5,4.75,6,NA,0,0,0,1,NA
338,9.6.2015,15:00,17,17,6.25,4.5,5.25,3,8.75,2.25,NA,0.05,0.1,0.65,0.2,7.31,9.161999999999999,NA,0,1,0,12.384,10.330499999999999,NA,4.5,4.5,6.25,NA,2,0,0,1,NA
339,10.6.2015,18:40,17,18,6,5.5,5.75,10.25,6.25,1.75,NA,0.3,0.2,0.4,0.1,8.406,9.440999999999999,NA,0,0,1,8.524,9.6615,NA,4.75,5,7.25,NA,1.75,1,0,1,1
340,11.6.2015,14:25,17,19,5.5,5,5,2.5,8.75,0,NA,0,0.1,0.8,0.1,8.244,10.066500000000001,NA,0,0,1,10.73,10.477500000000001,NA,5,4.25,6.5,NA,0,0,0,1,NA
341,12.6.2015,11:55,17,20,5,3.5,5.75,1.7,7.5,10,NA,0.4,0.3,0.2,0.1,9.392,8.7675,NA,0,1,0,9.812,10.565999999999999,NA,5.5,5,6.25,NA,0.5,0,0,1,NA
342,13.6.2015,0:50,17,21,3,5,6.5,16.7,4.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,4,6,8,NA,11,1,0,1,1
343,14.6.2015,22:45,17,22,5,5.5,7.5,12.75,6.5,0.5,NA,0.3,0.3,0.2,0.2,NA,NA,NA,0,1,0,15.402,15.309000000000001,NA,5,5.5,6.75,NA,34,0,1,1,1
344,15.6.2015,12:25,17,23,6,5,5.25,1,9.4,13,NA,0,0,1,0,NA,NA,NA,0,1,0,17.604,14.344500000000002,NA,4.5,4.75,6.25,NA,46,0,0,1,NA
345,16.6.2015,NA,17,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
346,17.6.2015,NA,17,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
347,18.6.2015,NA,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
348,19.6.2015,NA,17,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
349,20.6.2015,NA,17,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
350,21.6.2015,NA,17,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
351,22.6.2015,NA,17,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
352,23.6.2015,NA,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
353,24.6.2015,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
354,25.6.2015,NA,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
355,26.6.2015,NA,18,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
356,27.6.2015,NA,18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
357,28.6.2015,23:50,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
358,29.6.2015,13:07,18,7,4,6.5,8,8.4,2.6,0.25,NA,0,0.2,0.4,0.4,8.13,10.8915,at least one,0,1,0,8.564,10.3245,none,6,5,6.5,NA,0.25,1,0,1,1
359,30.6.2015,22:44,18,7,6,5.25,6.75,10.5,12,26.8,NA,0,0.4,0.4,0.2,NA,NA,NA,1,0,0,NA,NA,NA,4,4.5,7.75,NA,8.8,0,0,1,1
360,1.7.2015,12:21,18,8,4.75,4.5,7,4.35,6.5,40.3,NA,0.3,0.6,0.1,0,8.77,9.7545,NA,0,1,0,9.032,9.8535,NA,6,5.25,6.5,NA,1,1,0,1,0
361,2.7.2015,20:43,18,9,5.5,6,6.25,8.6,9.8,0,NA,0,0.1,0.6,0.3,9.376,9.5985,NA,0,1,0,9.068,9.3255,NA,4.75,5.5,7,NA,6,1,0,1,0
362,3.7.2015,18:31,18,10,4.5,4,7,7.35,5.75,0.25,NA,0.2,0.3,0.3,0.2,8.802,9.657,NA,0,1,0,9.086,9.5385,NA,4,4,6.75,NA,0,1,0,1,0
363,4.7.2015,0:53,18,11,5,4,6,16,8.4,2,NA,0.6,0.3,0.1,0,NA,NA,NA,0,1,0,NA,NA,NA,3.75,3.5,6.75,NA,29,0,0,1,1
364,5.7.2015,20:52,18,12,4,5,6.5,8,10.5,1,NA,0.4,0.5,0.1,0,NA,NA,NA,0,1,0,NA,NA,NA,4.5,5.25,5.75,NA,0.5,0,0,1,0
365,6.7.2015,22:38,18,13,6,5,6,9.3,10.1,0.25,NA,0.3,0.5,0.1,0.1,8.326,8.1105,none,0,1,0,7.86,8.781,at least one,4.75,5,6.75,NA,0.25,1,0,1,1
366,7.7.2015,17:08,18,14,6.25,4.5,3,3.8,9.25,0.5,NA,0,0.4,0.4,0.2,10.272,8.781,none,0,1,0,8.21,9.5505,at least one,4.5,4.5,5,NA,0,1,0,1,1
367,8.7.2015,19:48,18,15,4.75,4.5,7,7.1,8.1,1.25,NA,0,0.3,0.4,0.3,9.648,10.366499999999998,NA,0,1,0,10.236,8.770500000000002,NA,4,4.75,7.25,NA,0.5,1,0,1,0
368,9.7.2015,20:09,18,16,5.25,5.75,6.75,9.5,7.75,1.7,NA,0.1,0.3,0.3,0.3,8.832,9.434999999999999,NA,0,0,1,9.98,9.225,NA,4.5,4.75,6.75,NA,0.5,1,0,1,0
369,10.7.2015,18:05,18,17,4.5,4.75,7,3.6,10.1,0.25,NA,0,0.2,0.6,0.2,10.106,9.520500000000002,NA,0,1,0,8.518,9.9945,NA,5.75,5.5,5.5,NA,0.25,1,0,1,0
370,11.7.2015,12:19,18,18,5,4,5.5,0.8,7.75,9,NA,0,0.1,0.7,0.2,NA,NA,NA,0,0,1,NA,NA,NA,4,4,7,NA,12,0,0,1,0
371,12.7.2015,15:09,18,19,5.5,4.75,7,4,7.75,1,NA,0.3,0.1,0.1,0.5,7.924,7.6275,NA,0,1,0,10.578,9.442499999999999,NA,5,5.75,7.25,NA,4,1,0,1,0
372,13.7.2015,19:06,18,20,5,5,6.5,5.4,12.3,5,NA,0.1,0.4,0.5,0,8.108,10.525500000000001,NA,0,1,0,9.824,10.5135,NA,4.75,5,6.25,NA,4,1,0,1,1
373,14.7.2015,23:43,18,21,6,5.5,6,10.75,7.7,0.5,NA,0.4,0.4,0.2,0,NA,NA,NA,0,0,1,NA,NA,NA,4.75,5.25,6.75,NA,0.25,0,0,1,0
374,15.7.2015,15:21,18,22,6,5,5.5,4.1,8.5,2.4,NA,0,0,1,0,15.978,11.3205,at least one,1,0,0,8.352,9.8385,none,4,5.5,6.25,NA,2,1,0,1,0
375,16.7.2015,21:39,18,23,4.75,4.25,6.75,9.9,10.6,3,NA,0.3,0.4,0.3,0,9.566,10.618500000000001,almost,1,0,0,9.736,10.2345,none,4.25,4.25,6,NA,2,1,0,1,0
376,17.7.2015,19:51,18,24,4,6,5.75,5.4,7.1,1.25,NA,0,0,0.5,0.5,6.776,8.403,NA,0,0,1,8.152,9.969,NA,5.75,6,6.75,NA,0.75,1,0,1,0
377,18.7.2015,17:24,18,25,5.5,4.5,4,4.3,7.3,0.25,NA,0,0.2,0.5,0.3,NA,NA,NA,0,0,1,NA,NA,NA,4.25,5,6,NA,2,0,0,1,0
378,19.7.2015,23:06,18,26,3.75,4.75,7,10.2,8.7,3,NA,0.2,0.5,0.3,0,NA,NA,NA,1,0,0,NA,NA,NA,4.5,4.75,6.5,NA,3,0,0,1,0
379,20.7.2015,16:16,18,27,4,5,7.25,10.1,4.7,4.25,NA,0,0.7,0.3,0,8.318,9.615,NA,1,0,0,9.488,8.22,NA,4.5,5.25,7,NA,0,1,0,1,1
380,21.7.2015,14:26,18,28,3.75,4.5,7.25,6.8,6.9,3,NA,0,0.65,0.35,0,9.888,9.017999999999999,almost,1,0,0,9.504,10.381499999999999,none,5,4.25,6.75,NA,2.25,1,0,1,0
381,22.7.2015,20:05,18,29,5,4.5,6.75,8.2,10.2,3,NA,0,0.5,0.4,0.1,8.848,8.169,NA,1,0,0,8.708,8.305499999999999,NA,5,4.5,6.25,NA,3,1,0,1,0
382,23.7.2015,21:13,18,30,5.5,5.25,5.25,7.75,8.5,2,NA,0.1,0.3,0.5,0.1,8.866,8.253,none,0,1,0,9.194,11.8935,almost,4.5,5.25,6.75,NA,1,1,0,1,0
383,24.7.2015,16:50,19,1,4.5,4,6.25,4,5.8,15.8,NA,0.1,0.3,0.3,0.3,7.55,10.959,NA,0,1,0,11.266,10.184999999999999,NA,5.5,5.25,6.75,NA,15.5,0,0,1,0
384,25.7.2015,NA,NA,NA,NA,NA,NA,NA,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
